assembly_accession,nifH_present,nifH_best_evalue,nifH_best_ref,nifD_present,nifD_best_evalue,nifD_best_ref,nifK_present,nifK_best_evalue,nifK_best_ref,best_hit_ids,download_ok,nifHDK_core_call,organism_name,assembly_level,number_of_contigs,contig_n50,number_of_scaffolds,scaffold_n50,total_ungapped_length,gc_percent,coverage,annotation_name,annotation_date,checkm_completeness,checkm_contamination,genome_notes,derived_from_metagenome,annotation_fails_MAG_check,checkm_version,checkm_source,organism_full,genus,is_diazotroph
GCF_000015685.1,1.0,8.799999999999999e-54,nifH-local_aln_i2.1_12182023,1.0,6.1e-09,nifD-local_aln_i2.1_12182023,1.0,1.2e-09,nifK-local_aln_i2.1_12182023,H=WP_011294504.1;D=WP_011823334.1;K=WP_011823334.1,1,1,"{'infraspecific_names': {'strain': 'NATL1A'}, 'organism_name': 'Prochlorococcus marinus str. NATL1A', 'tax_id': 167555}",Complete Genome,1,1864731,1,1864731,1864731,35.0,,GCF_000015685.1-RS_2025_01_27,,99.38,0.06,,0,0,v1.2.3,structured,Prochlorococcus marinus str. NATL1A,Prochlorococcus,False
GCF_036345015.1,1.0,1.7e-156,nifH-local_aln_i2.1_12182023,1.0,4.5000000000000006e-251,nifD-local_aln_i2.1_12182023,1.0,2.4000000000000002e-231,nifK-local_aln_i2.1_12182023,H=WP_330203346.1;D=WP_330203347.1;K=WP_330203348.1,1,1,"{'infraspecific_names': {'strain': 'DS4'}, 'organism_name': 'Cyanobacterium sp. DS4', 'tax_id': 2878255}",Complete Genome,5,4250085,5,4250085,4320404,35.0,260.0,GCF_036345015.1-RS_2025_05_11,,99.37,2.17,,0,0,v1.2.3,structured,Cyanobacterium sp. DS4,Cyanobacterium,True
GCF_000204075.1,1.0,1.2e-162,nifH-local_aln_i2.1_12182023,1.0,2.3e-256,nifD-local_aln_i2.1_12182023,1.0,7.799999999999999e-258,nifK-local_aln_i2.1_12182023,H=WP_011320610.1;D=WP_011320928.1;K=WP_011320624.1,1,1,"{'infraspecific_names': {'strain': 'ATCC 29413'}, 'organism_name': 'Trichormus variabilis ATCC 29413', 'tax_id': 240292}",Complete Genome,5,6365727,5,6365727,7105752,41.5,,GCF_000204075.1-RS_2025_01_23,,99.35,0.11,,0,0,v1.2.3,structured,Trichormus variabilis ATCC 29413,Trichormus,True
GCF_002368255.1,1.0,6.8e-161,nifH-local_aln_i2.1_12182023,1.0,1.4e-252,nifD-local_aln_i2.1_12182023,1.0,5.699999999999999e-245,nifK-local_aln_i2.1_12182023,H=WP_017289029.1;D=WP_017289030.1;K=WP_017289031.1,1,1,"{'infraspecific_names': {'strain': 'NIES-2135'}, 'organism_name': 'Leptolyngbya boryana NIES-2135', 'tax_id': 1973484}",Complete Genome,4,6255463,4,6255463,7233668,47.0,59.0,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),,99.34,1.21,,0,0,v1.2.3,structured,Leptolyngbya boryana NIES-2135,Leptolyngbya,True
GCF_002142495.1,1.0,6.8e-161,nifH-local_aln_i2.1_12182023,1.0,1.4e-252,nifD-local_aln_i2.1_12182023,1.0,5.699999999999999e-245,nifK-local_aln_i2.1_12182023,H=WP_017289029.1;D=WP_017289030.1;K=WP_017289031.1,1,1,"{'infraspecific_names': {'strain': 'dg5'}, 'organism_name': 'Leptolyngbya boryana dg5', 'tax_id': 1260963}",Complete Genome,4,6176365,4,6176365,6803469,47.0,24.0,GCF_002142495.1-RS_2024_10_23,,99.34,1.21,,0,0,v1.2.3,structured,Leptolyngbya boryana dg5,Leptolyngbya,True
GCF_002142475.1,1.0,6.8e-161,nifH-local_aln_i2.1_12182023,1.0,1.4e-252,nifD-local_aln_i2.1_12182023,1.0,5.699999999999999e-245,nifK-local_aln_i2.1_12182023,H=WP_017289029.1;D=WP_017289030.1;K=WP_017289031.1,1,1,"{'infraspecific_names': {'strain': 'IAM M-101'}, 'organism_name': 'Leptolyngbya boryana IAM M-101', 'tax_id': 411966}",Complete Genome,4,6176364,4,6176364,6803468,47.0,24.0,GCF_002142475.1-RS_2024_10_23,,99.34,1.21,,0,0,v1.2.3,structured,Leptolyngbya boryana IAM M-101,Leptolyngbya,True
GCF_021650815.1,1.0,1.3000000000000002e-161,nifH-local_aln_i2.1_12182023,1.0,1.3e-255,nifD-local_aln_i2.1_12182023,1.0,4.9000000000000005e-248,nifK-local_aln_i2.1_12182023,H=WP_057177533.1;D=WP_115538753.1;K=WP_006278576.1,1,1,"{'infraspecific_names': {'strain': 'KLL07'}, 'organism_name': 'Cylindrospermopsis raciborskii KLL07', 'tax_id': 683357}",Complete Genome,1,3808183,1,3808183,3808183,40.0,500.0,GCF_021650815.1-RS_2024_08_13,,99.34,0.38,,0,0,v1.2.4,structured,Cylindrospermopsis raciborskii KLL07,Cylindrospermopsis,True
GCF_009873495.1,1.0,1.8e-161,nifH-local_aln_i2.1_12182023,1.0,6.5e-239,nifD-local_aln_i2.1_12182023,1.0,1e-244,nifK-local_aln_i2.1_12182023,H=WP_114083679.1;D=WP_114083678.1;K=WP_114083661.1,1,1,"{'infraspecific_names': {'strain': 'ATCC 53789'}, 'organism_name': 'Nostoc sp. ATCC 53789', 'tax_id': 76335}",Complete Genome,13,7340101,13,7340101,8653730,41.5,38.0,GCF_009873495.1-RS_2024_06_03,,99.32,1.4,,0,0,v1.2.2,structured,Nostoc sp. ATCC 53789,Nostoc,True
GCF_022372495.1,1.0,6.8e-161,nifH-local_aln_i2.1_12182023,1.0,1.4e-252,nifD-local_aln_i2.1_12182023,1.0,5.699999999999999e-245,nifK-local_aln_i2.1_12182023,H=WP_017289029.1;D=WP_017289030.1;K=WP_017289031.1,1,1,"{'infraspecific_names': {'strain': 'IU 594'}, 'organism_name': 'Leptolyngbya boryana IU 594', 'tax_id': 462680}",Complete Genome,4,6249019,4,6249019,7227162,47.0,390.0,GCF_022372495.1-RS_2024_10_23,,99.32,1.21,,0,0,v1.2.3,structured,Leptolyngbya boryana IU 594,Leptolyngbya,True
GCF_043099725.1,1.0,1.8e-161,nifH-local_aln_i2.1_12182023,1.0,5.3e-239,nifD-local_aln_i2.1_12182023,1.0,1.1e-244,nifK-local_aln_i2.1_12182023,H=WP_114083679.1;D=WP_392482634.1;K=WP_012407198.1,1,1,"{'infraspecific_names': {'strain': 'C110'}, 'organism_name': 'Nostoc sp. C110', 'tax_id': 3349876}",Complete Genome,12,7175855,12,7175855,8366001,41.5,1.0,GCF_043099725.1-RS_2024_10_15,,99.32,1.0,,0,0,v1.2.3,structured,Nostoc sp. C110,Nostoc,True
GCF_001548375.1,1.0,5.600000000000001e-163,nifH-local_aln_i2.1_12182023,1.0,4.2e-240,nifD-local_aln_i2.1_12182023,1.0,2.0999999999999997e-257,nifK-local_aln_i2.1_12182023,H=WP_067766985.1;D=WP_067766988.1;K=WP_067766943.1,1,1,"{'infraspecific_names': {'strain': 'NIES-3756'}, 'organism_name': 'Nostoc sp. NIES-3756', 'tax_id': 1751286}",Complete Genome,3,6463965,3,6463965,6987571,40.5,60.0,GCF_001548375.1-RS_2025_09_14,,99.29,2.18,,0,0,v1.2.4,structured,Nostoc sp. NIES-3756,Nostoc,True
GCF_001854205.2,1.0,3.9999999999999996e-50,nifH-local_aln_i2.1_12182023,1.0,2e-12,nifD-local_aln_i2.1_12182023,1.0,2.4e-06,nifK-local_aln_i2.1_12182023,H=WP_071102525.1;D=WP_009149518.1;K=WP_009149518.1,1,1,"{'infraspecific_names': {'strain': 'JHB'}, 'organism_name': 'Moorena producens JHB', 'tax_id': 1454205}",Complete Genome,3,9648523,3,9648523,9659941,43.5,20.0,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),,99.28,0.12,,0,0,v1.2.3,structured,Moorena producens JHB,Moorena,False
GCF_047276495.1,1.0,2.6e-155,nifH-local_aln_i2.1_12182023,1.0,1.3e-258,nifD-local_aln_i2.1_12182023,1.0,2.4e-241,nifK-local_aln_i2.1_12182023,H=WP_413167098.1;D=WP_413167097.1;K=WP_413167096.1,1,1,"{'infraspecific_names': {'isolate': 'ALCB114379'}, 'organism_name': 'Capilliphycus salinus ALCB114379', 'tax_id': 1972598}",Complete Genome,1,7712874,1,7712874,7712874,43.0,1.0,GCF_047276495.1-RS_2025_01_28,,99.28,,,0,0,v1.2.3,structured,Capilliphycus salinus ALCB114379,Capilliphycus,True
GCF_008121535.1,1.0,4e-161,nifH-local_aln_i2.1_12182023,1.0,1.1e-235,nifD-local_aln_i2.1_12182023,1.0,5.3000000000000005e-248,nifK-local_aln_i2.1_12182023,H=WP_148759939.1;D=WP_148762529.1;K=WP_148762493.1,1,1,"{'infraspecific_names': {'strain': 'UHCC 0315A'}, 'organism_name': 'Dolichospermum sp. UHCC 0315A', 'tax_id': 1914871}",Complete Genome,4,5407479,4,5407479,5642022,38.0,320.0,GCF_008121535.1-RS_2024_08_24,,99.27,0.31,,0,0,v1.2.3,structured,Dolichospermum sp. UHCC 0315A,Dolichospermum,True
GCF_047304625.1,1.0,1.1e-52,nifH-local_aln_i2.1_12182023,1.0,1.9e-07,nifD-local_aln_i2.1_12182023,1.0,1.9e-10,nifK-local_aln_i2.1_12182023,H=WP_036917120.1;D=WP_036917121.1;K=WP_036917121.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0601'}, 'organism_name': 'Prochlorococcus sp. MIT 0601', 'tax_id': 1499498}",Complete Genome,1,1752272,1,1752272,1752272,36.5,1.0,GCF_047304625.1-RS_2025_01_31,,99.27,0.19,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 0601,Prochlorococcus,False
GCF_047303175.1,1.0,1.1e-52,nifH-local_aln_i2.1_12182023,1.0,1.9e-07,nifD-local_aln_i2.1_12182023,1.0,1.9e-10,nifK-local_aln_i2.1_12182023,H=WP_036917120.1;D=WP_036917121.1;K=WP_036917121.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0603'}, 'organism_name': 'Prochlorococcus sp. MIT 0603', 'tax_id': 1499500}",Complete Genome,1,1752272,1,1752272,1752272,36.5,1.0,GCF_047303175.1-RS_2025_01_29,,99.27,0.19,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 0603,Prochlorococcus,False
GCF_047305065.1,1.0,4.999999999999999e-52,nifH-local_aln_i2.1_12182023,1.0,1.9e-10,nifD-local_aln_i2.1_12182023,1.0,9.4e-08,nifK-local_aln_i2.1_12182023,H=WP_011862562.1;D=WP_011862563.1;K=WP_011862563.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1205'}, 'organism_name': 'Prochlorococcus sp. MIT 1205', 'tax_id': 3082524}",Complete Genome,1,1641776,1,1641776,1641776,31.5,1.0,GCF_047305065.1-RS_2025_01_31,,99.27,0.08,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 1205,Prochlorococcus,False
GCF_047305015.1,1.0,4.999999999999999e-52,nifH-local_aln_i2.1_12182023,1.0,1.9e-10,nifD-local_aln_i2.1_12182023,1.0,9.4e-08,nifK-local_aln_i2.1_12182023,H=WP_011862562.1;D=WP_011862563.1;K=WP_011862563.1,1,1,"{'infraspecific_names': {'strain': 'MIT 1304'}, 'organism_name': 'Prochlorococcus sp. MIT 1304', 'tax_id': 3082525}",Complete Genome,1,1641776,1,1641776,1641776,31.5,1.0,GCF_047305015.1-RS_2025_01_31,,99.27,0.08,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 1304,Prochlorococcus,False
GCF_038096175.1,1.0,3.1000000000000003e-161,nifH-local_aln_i2.1_12182023,1.0,5.7e-239,nifD-local_aln_i2.1_12182023,1.0,1.2999999999999999e-244,nifK-local_aln_i2.1_12182023,H=WP_341525196.1;D=WP_341525197.1;K=WP_341525214.1,1,1,"{'infraspecific_names': {'strain': 'UHCC 0302'}, 'organism_name': 'Nostoc sp. UHCC 0302', 'tax_id': 3134896}",Complete Genome,9,8388664,9,8388664,9587056,41.0,1.0,GCF_038096175.1-RS_2024_05_06,,99.24,5.13,,0,0,v1.2.2,structured,Nostoc sp. UHCC 0302,Nostoc,True
GCF_025860405.1,1.0,5.600000000000001e-163,nifH-local_aln_i2.1_12182023,1.0,1.2e-114,nifD-local_aln_i2.1_12182023,1.0,2.7e-206,nifK-local_aln_i2.1_12182023,H=WP_045868724.1;D=WP_045868610.1;K=WP_045868681.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7712'}, 'organism_name': 'Tolypothrix sp. PCC 7712', 'tax_id': 2596898}",Complete Genome,16,9007860,16,9007860,10115897,40.5,160.0,GCF_025860405.1-RS_2025_02_01,,99.24,1.07,,0,0,v1.2.3,structured,Tolypothrix sp. PCC 7712,Tolypothrix,True
GCF_047303505.1,1.0,4.5e-53,nifH-local_aln_i2.1_12182023,1.0,1.2e-10,nifD-local_aln_i2.1_12182023,1.0,1e-07,nifK-local_aln_i2.1_12182023,H=WP_032513886.1;D=WP_032513885.1;K=WP_032513885.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9116'}, 'organism_name': 'Prochlorococcus sp. MIT 9116', 'tax_id': 3082533}",Complete Genome,1,1695276,1,1695276,1695276,31.0,1.0,GCF_047303505.1-RS_2025_01_29,,99.24,,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 9116,Prochlorococcus,False
GCF_026000695.1,1.0,7.6e-51,nifH-local_aln_i2.1_12182023,1.0,7.6e-08,nifD-local_aln_i2.1_12182023,1.0,3e-06,nifK-local_aln_i2.1_12182023,H=WP_006616040.1;D=WP_014276428.1;K=WP_014276428.1,1,1,"{'infraspecific_names': {'strain': 'NIES-39'}, 'organism_name': 'Limnospira platensis NIES-39', 'tax_id': 696747}",Complete Genome,1,6818856,1,6818856,6818856,44.5,36.0,GCF_026000695.1-RS_2025_07_06,,99.23,3.21,,0,0,v1.2.4,structured,Limnospira platensis NIES-39,Limnospira,False
GCF_002896875.1,1.0,2e-51,nifH-local_aln_i2.1_12182023,1.0,4.6e-239,nifD-local_aln_i2.1_12182023,1.0,1.1000000000000001e-257,nifK-local_aln_i2.1_12182023,H=WP_067771601.1;D=WP_103135381.1;K=WP_103135399.1,1,1,"{'infraspecific_names': {'strain': 'CENA543'}, 'organism_name': 'Nostoc sp. CENA543', 'tax_id': 1869241}",Complete Genome,6,6990729,6,6990729,7207640,41.0,170.0,GCF_002896875.1-RS_2024_09_15,,99.23,1.41,,0,0,v1.2.3,structured,Nostoc sp. CENA543,Nostoc,True
GCF_032163395.1,1.0,4.8e-51,nifH-local_aln_i2.1_12182023,1.0,8.3e-13,nifD-local_aln_i2.1_12182023,1.0,4.7e-07,nifK-local_aln_i2.1_12182023,H=WP_235611965.1;D=WP_105219596.1;K=WP_105219596.1,1,1,"{'infraspecific_names': {'strain': 'AAB1'}, 'organism_name': 'Gloeocapsopsis dulcis', 'tax_id': 2859516}",Complete Genome,3,5299722,3,5299722,5618434,42.5,492.0,GCF_032163395.1-RS_2025_04_07,,99.21,1.72,,0,0,v1.2.3,structured,Gloeocapsopsis dulcis,Gloeocapsopsis,False
GCF_029953635.1,1.0,2.3000000000000003e-162,nifH-local_aln_i2.1_12182023,1.0,1.9e-239,nifD-local_aln_i2.1_12182023,1.0,2.4000000000000003e-246,nifK-local_aln_i2.1_12182023,H=WP_281483964.1;D=WP_281483963.1;K=WP_281483939.1,1,1,"{'infraspecific_names': {'strain': 'CENA392'}, 'organism_name': 'Halotia branconii CENA392', 'tax_id': 1539056}",Complete Genome,2,6866024,2,6866024,7116433,40.5,172.0,GCF_029953635.1-RS_2025_05_07,,99.21,1.15,,0,0,v1.2.3,structured,Halotia branconii CENA392,Halotia,True
GCF_027359595.1,1.0,9.699999999999999e-54,nifH-local_aln_i2.1_12182023,1.0,8.3e-10,nifD-local_aln_i2.1_12182023,1.0,6.3e-10,nifK-local_aln_i2.1_12182023,H=WP_269612474.1;D=WP_269612476.1;K=WP_269612476.1,1,1,"{'infraspecific_names': {'strain': 'MIT 0912'}, 'organism_name': 'Prochlorococcus marinus str. MIT 0912', 'tax_id': 1570009}",Complete Genome,1,1898947,1,1898947,1898947,35.0,200.0,GCF_027359595.1-RS_2025_03_18,,99.21,0.22,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 0912,Prochlorococcus,False
GCF_047649235.1,1.0,1.3999999999999999e-160,nifH-local_aln_i2.1_12182023,1.0,2.8e-253,nifD-local_aln_i2.1_12182023,1.0,4.3e-245,nifK-local_aln_i2.1_12182023,H=WP_190653244.1;D=WP_190653245.1;K=WP_190653246.1,1,1,"{'infraspecific_names': {'strain': 'FACHB-1624'}, 'organism_name': 'Leptolyngbya sp. FACHB-1624', 'tax_id': 2692802}",Complete Genome,1,6500472,1,6500472,6500472,47.0,1.0,GCF_047649235.1-RS_2025_02_12,,99.19,2.63,,0,0,v1.2.3,structured,Leptolyngbya sp. FACHB-1624,Leptolyngbya,True
GCF_032705245.1,1.0,8.4e-51,nifH-local_aln_i2.1_12182023,1.0,3.7e-11,nifD-local_aln_i2.1_12182023,1.0,2e-06,nifK-local_aln_i2.1_12182023,H=WP_297082649.1;D=WP_316790607.1;K=WP_316790607.1,1,1,"{'infraspecific_names': {'strain': 'NK1-22'}, 'organism_name': 'Thermoleptolyngbya oregonensis NK1-22', 'tax_id': 2547457}",Complete Genome,1,5289693,1,5289693,5289693,56.5,783.0,GCF_032705245.1-RS_2025_03_19,,99.18,0.82,,0,0,v1.2.3,structured,Thermoleptolyngbya oregonensis NK1-22,Thermoleptolyngbya,False
GCF_001746915.2,1.0,5e-162,nifH-local_aln_i2.1_12182023,1.0,1.3999999999999998e-250,nifD-local_aln_i2.1_12182023,1.0,3.7e-241,nifK-local_aln_i2.1_12182023,H=WP_190567106.1;D=WP_069969274.1;K=WP_069969275.1,1,1,"{'infraspecific_names': {'strain': 'IPPAS B-1220'}, 'organism_name': 'Desertifilum tharense IPPAS B-1220', 'tax_id': 1781255}",Complete Genome,2,6134953,2,6134953,6145247,48.5,83.0,GCF_001746915.2-RS_2025_08_24,,99.18,0.27,,0,0,v1.2.4,structured,Desertifilum tharense IPPAS B-1220,Desertifilum,True
GCF_013343235.1,1.0,9.7e-161,nifH-local_aln_i2.1_12182023,1.0,6.1999999999999994e-257,nifD-local_aln_i2.1_12182023,1.0,2.3e-244,nifK-local_aln_i2.1_12182023,H=WP_174710323.1;D=WP_174710321.1;K=WP_174710319.1,1,1,"{'infraspecific_names': {'isolate': 'TCL240-02'}, 'organism_name': 'Nostoc sp. TCL240-02', 'tax_id': 2572090}",Complete Genome,1,7887247,1,7887247,7887247,41.5,58.0,GCF_013343235.1-RS_2024_07_27,,99.15,1.63,,0,0,v1.2.3,structured,Nostoc sp. TCL240-02,Nostoc,True
GCA_003990705.1,1.0,3.2000000000000005e-163,nifH-local_aln_i2.1_12182023,1.0,2e-258,nifD-local_aln_i2.1_12182023,1.0,1.5e-256,nifK-local_aln_i2.1_12182023,H=BBD60692.1;D=BBD60691.1;K=BBD60690.1,1,1,"{'infraspecific_names': {'strain': 'NIES-2109'}, 'organism_name': 'Nostoc sp. HK-01', 'tax_id': 196308}",Complete Genome,8,6494018,8,6494018,7527697,40.5,80.0,Annotation submitted by Toyohashi University of Technology,,99.15,1.63,,0,0,v1.2.3,structured,Nostoc sp. HK-01,Nostoc,True
GCF_013393925.1,1.0,1.8e-161,nifH-local_aln_i2.1_12182023,1.0,5.399999999999999e-239,nifD-local_aln_i2.1_12182023,1.0,1.5e-244,nifK-local_aln_i2.1_12182023,H=WP_114083679.1;D=WP_179071827.1;K=WP_179071806.1,1,1,"{'infraspecific_names': {'strain': 'C057'}, 'organism_name': 'Nostoc sp. C057', 'tax_id': 2576903}",Complete Genome,16,7495445,16,7495445,9234448,41.5,20.0,GCF_013393925.1-RS_2024_08_31,,99.15,1.62,,0,0,v1.2.3,structured,Nostoc sp. C057,Nostoc,True
GCF_000317125.1,1.0,1.6000000000000001e-162,nifH-local_aln_i2.1_12182023,1.0,4.5e-254,nifD-local_aln_i2.1_12182023,1.0,5.1000000000000005e-248,nifK-local_aln_i2.1_12182023,H=WP_015156515.1;D=WP_015156514.1;K=WP_015156513.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7203'}, 'organism_name': 'Chroococcidiopsis thermalis PCC 7203', 'tax_id': 251229}",Complete Genome,3,6315792,3,6315792,6689401,44.5,30.0,GCF_000317125.1-RS_2025_05_02,,99.14,0.88,,0,0,v1.2.3,structured,Chroococcidiopsis thermalis PCC 7203,Chroococcidiopsis,True
GCF_019891175.1,1.0,2.8000000000000003e-161,nifH-local_aln_i2.1_12182023,1.0,4.5e-255,nifD-local_aln_i2.1_12182023,1.0,8.4e-244,nifK-local_aln_i2.1_12182023,H=WP_225938108.1;D=WP_223045959.1;K=WP_223045958.1,1,1,"{'infraspecific_names': {'strain': 'E412'}, 'organism_name': 'Leptothermofonsia sichuanensis E412', 'tax_id': 2016068}",Complete Genome,1,6426061,1,6426061,6426061,51.0,260.0,GCF_019891175.1-RS_2024_10_11,,99.14,,,0,0,v1.2.3,structured,Leptothermofonsia sichuanensis E412,Leptothermofonsia,True
GCF_000013225.1,1.0,1.0000000000000001e-159,nifH-local_aln_i2.1_12182023,1.0,3.0000000000000002e-251,nifD-local_aln_i2.1_12182023,1.0,7.6e-234,nifK-local_aln_i2.1_12182023,H=WP_011430651.1;D=WP_011432082.1;K=WP_011432083.1,1,1,"{'infraspecific_names': {'strain': ""JA-2-3B'a(2-13)""}, 'organism_name': ""Synechococcus sp. JA-2-3B'a(2-13)"", 'tax_id': 321332}",Complete Genome,1,3046682,1,3046682,3046682,58.5,1.0,GCF_000013225.1-RS_2024_08_13,,99.13,,,0,0,v1.2.3,structured,Synechococcus sp. JA-2-3B'a(2-13),Synechococcus,True
GCF_000013205.1,1.0,1.0000000000000001e-159,nifH-local_aln_i2.1_12182023,1.0,4.0000000000000003e-252,nifD-local_aln_i2.1_12182023,1.0,5.5e-234,nifK-local_aln_i2.1_12182023,H=WP_011430651.1;D=WP_011430650.1;K=WP_011430649.1,1,1,"{'infraspecific_names': {'strain': 'JA-3-3Ab'}, 'organism_name': 'Synechococcus sp. JA-3-3Ab', 'tax_id': 321327}",Complete Genome,1,2932766,1,2932766,2932766,60.0,1.0,GCF_000013205.1-RS_2024_08_13,,99.13,,,0,0,v1.2.3,structured,Synechococcus sp. JA-3-3Ab,Synechococcus,True
GCF_000317695.1,1.0,1.3000000000000002e-161,nifH-local_aln_i2.1_12182023,1.0,6.0999999999999995e-99,nifD-local_aln_i2.1_12182023,1.0,8.4e-248,nifK-local_aln_i2.1_12182023,H=WP_015215476.1;D=WP_015214314.1;K=WP_015214312.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7122'}, 'organism_name': 'Anabaena cylindrica PCC 7122', 'tax_id': 272123}",Complete Genome,7,6395836,7,6395836,7063285,39.0,30.0,GCF_000317695.1-RS_2025_04_26,,99.12,0.33,,0,0,v1.2.3,structured,Anabaena cylindrica PCC 7122,Anabaena,True
GCF_047305125.1,1.0,7.299999999999999e-53,nifH-local_aln_i2.1_12182023,1.0,2e-10,nifD-local_aln_i2.1_12182023,1.0,5.8e-08,nifK-local_aln_i2.1_12182023,H=WP_032522524.1;D=WP_032522525.1;K=WP_032522525.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9201'}, 'organism_name': 'Prochlorococcus marinus str. MIT 9201', 'tax_id': 93057}",Complete Genome,1,1685880,1,1685880,1685880,31.5,1.0,GCF_047305125.1-RS_2025_01_31,,99.09,0.05,,0,0,v1.2.3,structured,Prochlorococcus marinus str. MIT 9201,Prochlorococcus,False
GCA_026000695.1,1.0,7.6e-51,nifH-local_aln_i2.1_12182023,1.0,7.6e-08,nifD-local_aln_i2.1_12182023,1.0,3e-06,nifK-local_aln_i2.1_12182023,H=BDT14967.1;D=BDT14589.1;K=BDT14589.1,1,1,"{'infraspecific_names': {'strain': 'NIES-39'}, 'organism_name': 'Limnospira platensis NIES-39', 'tax_id': 696747}",Complete Genome,1,6818916,1,6818916,6818916,44.5,36.0,"Annotation submitted by Laboratory of Gene Biodynamics, Graduate School of Biostudies, Kyoto University",,99.08,3.33,,0,0,v1.2.0,structured,Limnospira platensis NIES-39,Limnospira,False
GCF_025677855.1,1.0,5.600000000000001e-163,nifH-local_aln_i2.1_12182023,1.0,1.2e-114,nifD-local_aln_i2.1_12182023,1.0,2.7e-206,nifK-local_aln_i2.1_12182023,H=WP_045868724.1;D=WP_045868610.1;K=WP_045868681.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7601'}, 'organism_name': 'Tolypothrix sp. PCC 7601', 'tax_id': 1188}",Complete Genome,15,9038614,15,9038614,10128441,40.5,100.0,GCF_025677855.1-RS_2025_01_18,,99.08,1.23,,0,0,v1.2.3,structured,Tolypothrix sp. PCC 7601,Tolypothrix,True
GCF_000317085.1,1.0,6.2e-51,nifH-local_aln_i2.1_12182023,1.0,2.2e-10,nifD-local_aln_i2.1_12182023,1.0,8.2e-06,nifK-local_aln_i2.1_12182023,H=WP_015169021.1;D=WP_015167061.1;K=WP_015167061.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7502'}, 'organism_name': 'Synechococcus sp. PCC 7502', 'tax_id': 1173263}",Complete Genome,3,3510253,3,3510253,3583735,40.5,30.0,GCF_000317085.1-RS_2024_08_22,,99.06,0.24,,0,0,v1.2.3,structured,Synechococcus sp. PCC 7502,Synechococcus,False
GCF_032620035.1,1.0,6.8e-161,nifH-local_aln_i2.1_12182023,1.0,2.4e-252,nifD-local_aln_i2.1_12182023,1.0,8.6e-245,nifK-local_aln_i2.1_12182023,H=WP_017289029.1;D=WP_316427823.1;K=WP_316427824.1,1,1,"{'infraspecific_names': {'strain': 'CZ1'}, 'organism_name': 'Leptolyngbya boryana CZ1', 'tax_id': 3060204}",Complete Genome,1,6635697,1,6635697,6635697,47.0,6640000.0,GCF_032620035.1-RS_2024_10_23,,99.04,3.08,,0,0,v1.2.3,structured,Leptolyngbya boryana CZ1,Leptolyngbya,True
GCF_047303555.1,1.0,2.7e-53,nifH-local_aln_i2.1_12182023,1.0,1.7e-10,nifD-local_aln_i2.1_12182023,1.0,6.7e-08,nifK-local_aln_i2.1_12182023,H=WP_032514911.1;D=WP_032514912.1;K=WP_032514912.1,1,1,"{'infraspecific_names': {'strain': 'MIT 9314'}, 'organism_name': 'Prochlorococcus sp. MIT 9314', 'tax_id': 3082534}",Complete Genome,1,1687907,1,1687907,1687907,31.0,1.0,GCF_047303555.1-RS_2025_01_29,,99.03,,,0,0,v1.2.3,structured,Prochlorococcus sp. MIT 9314,Prochlorococcus,False
GCF_000317555.1,1.0,3.4e-51,nifH-local_aln_i2.1_12182023,1.0,1.3e-13,nifD-local_aln_i2.1_12182023,1.0,8.3e-07,nifK-local_aln_i2.1_12182023,H=WP_015187799.1;D=WP_015188044.1;K=WP_015188044.1,1,1,"{'infraspecific_names': {'strain': 'PCC 7428'}, 'organism_name': 'Gloeocapsa sp. PCC 7428', 'tax_id': 1173026}",Complete Genome,5,5431448,5,5431448,5882710,43.5,30.0,GCF_000317555.1-RS_2024_08_13,,99.01,1.35,,0,0,v1.2.3,structured,Gloeocapsa sp. PCC 7428,Gloeocapsa,False
GCF_000317435.1,1.0,9.6e-51,nifH-local_aln_i2.1_12182023,1.0,1.1e-236,nifD-local_aln_i2.1_12182023,1.0,2.9e-248,nifK-local_aln_i2.1_12182023,H=WP_015199079.1;D=WP_015195999.1;K=WP_015195987.1,1,1,"{'infraspecific_names': {'strain': 'PCC 6303'}, 'organism_name': 'Calothrix sp. PCC 6303', 'tax_id': 1170562}",Complete Genome,4,6767834,4,6767834,6960392,40.0,30.0,GCF_000317435.1-RS_2025_02_14,,98.99,1.73,,0,0,v1.2.3,structured,Calothrix sp. PCC 6303,Calothrix,True
